,cod_worker,cod_music,cod_album
0,0,1416,309
1,1,1211,908
2,2,1416,1313
3,3,1416,806
4,4,119,908
5,5,1416,908
6,6,1315,908
7,7,317,908
8,8,596,908
9,9,1954,908
10,9,698,908
11,10,1975,908
12,11,1836,908
13,12,330,908
14,13,588,908
15,13,2097,908
16,13,1996,908
17,13,1852,908
18,13,318,908
19,14,716,908
20,15,825,908
21,16,1032,908
22,17,370,908
23,18,1416,908
24,19,118,908
25,20,947,908
26,21,941,908
27,22,204,908
28,23,1847,908
29,24,2122,908
30,24,1163,908
31,25,1195,908
32,26,250,908
33,27,1941,908
34,28,763,908
35,28,1416,908
36,29,1216,908
37,30,1465,908
38,31,602,908
39,32,1917,908
40,33,1070,908
41,34,1159,908
42,35,1485,908
43,36,564,908
44,37,667,908
45,38,2249,908
46,39,1263,908
47,40,282,908
48,41,25,908
49,42,1416,114
50,43,1735,908
51,44,553,908
52,45,1416,314
53,46,2011,908
54,47,1416,559
55,48,1416,615
56,49,1416,1009
57,50,1416,509
58,51,1416,644
59,52,499,908
60,52,262,908
61,53,562,908
62,53,1416,908
63,54,57,908
64,55,233,908
65,56,1416,680
66,57,1269,908
67,58,426,908
68,59,1416,908
69,59,1138,908
70,60,1416,108
71,61,1527,908
72,62,1819,908
73,63,1935,908
74,64,398,908
75,65,1416,1300
76,66,1416,228
77,67,1416,560
78,68,1464,908
79,69,2239,908
80,70,966,908
81,71,1416,908
82,72,1,908
83,73,30,908
84,74,1416,1273
85,75,1416,853
86,76,1868,908
87,77,1416,581
88,78,729,908
89,79,1686,908
90,80,2253,908
91,81,1154,908
92,82,1908,908
93,83,1416,886
94,84,1575,908
95,85,1416,914
96,86,412,908
97,87,1416,908
98,88,1385,908
99,89,368,908
100,90,1416,908
101,91,1416,34
102,91,1416,807
103,92,1515,908
104,93,620,908
105,93,130,908
106,93,1416,1229
107,93,1430,908
108,93,1416,908
109,93,1416,1275
110,93,2079,908
111,93,1416,391
112,93,446,908
113,93,349,908
114,94,1840,908
115,95,1416,125
116,96,1574,908
117,96,1416,1173
118,97,344,908
119,98,1682,908
120,99,1716,908
121,100,1416,945
122,101,1416,165
123,102,592,908
124,103,882,908
125,104,1521,908
126,104,1864,908
127,105,1139,908
128,106,1416,627
129,107,1112,908
130,108,23,908
131,109,89,908
132,110,765,908
133,110,1416,355
134,111,1416,713
135,112,1416,842
136,113,2120,908
137,114,1230,908
138,115,1249,908
139,115,410,908
140,116,1025,908
141,117,1416,135
142,118,197,908
143,119,1416,1555
144,119,1416,345
145,120,1492,908
146,121,1416,1411
147,122,896,908
148,123,1416,1062
149,123,745,908
150,124,1416,908
151,125,996,908
152,125,1364,908
153,126,1416,1603
154,127,1416,1049
155,128,1416,955
156,129,1104,908
157,130,1416,908
158,131,1416,857
159,132,1416,433
160,133,1347,908
161,134,1416,1250
162,134,1416,999
163,135,935,908
164,136,1416,20
165,137,348,908
166,138,1416,48
167,139,934,908
168,140,1984,908
169,141,1255,908
170,142,56,908
171,143,1416,908
172,143,1091,908
173,143,282,908
174,144,1416,21
175,145,931,908
176,145,2127,908
177,145,2134,908
178,146,768,908
179,147,1416,211
180,148,1416,1102
181,149,2103,908
182,149,1416,908
183,149,1165,908
184,150,1416,834
185,151,1416,908
186,152,1416,746
187,153,290,908
188,153,561,908
189,153,1998,908
190,154,1416,606
191,155,439,908
192,155,1416,1183
193,155,1416,1352
194,155,1650,908
195,155,192,908
196,155,908,908
197,155,629,908
198,156,299,908
199,157,1416,908
200,158,1416,908
201,158,142,908
202,159,1416,516
203,160,1416,1166
204,161,1416,908
205,161,1416,1095
206,162,2256,908
207,163,1416,859
