,cod_album,album
0,1,#Eldisco
1,2,...Again
2,3,"10,000 Days"
3,4,100% Mexicano
4,5,1123
5,6,11:11
6,7,12 Little Spells
7,8,16 de Septiembre
8,9,1963: New Directions
9,10,1989
10,11,20 Aniversario
11,12,2010 Gathering Of Nations Pow Wow: A Spirit's Dance
12,13,21
13,14,21st Century Breakdown
14,15,24K Magic
15,16,25
16,17,3-D The Catalogue
17,18,34th N Lex
18,19,35th Anniversary
19,20,4 + Four
20,21,44/876
21,22,45
22,23,52nd Street
23,24,52nd Street Themes
24,25,7
25,26,75
26,27,80
27,28,"A Bing Crosby Collection, Vols. I & II"
28,29,A Capella Kids
29,30,A Christmas Celebration Of Hope
30,31,A Colbert Christmas: The Greatest Gift Of All!
31,32,A Day Without Rain
32,33,A Deeper Level
33,34,A Deeper Understanding
34,35,A Full Life: Reflections at Ninety
35,36,A Ghost Is Born
36,37,A Green And Red Christmas
37,38,A Journey Through Cuban Music
38,39,A Legendary Christmas
39,40,A Little Moonlight
40,41,A Little Night Music
41,42,A Love Supreme: The Legacy Of John Coltrane
42,43,A Man And His Music
43,44,A Meeting By The River
44,45,A Mi Manera
45,46,A Quien Quiera Escuchar  (Deluxe Edition)
46,47,A Rush Of Blood To The Head
47,48,A Sailor's Guide To Earth
48,49,A Song Flung Up To Heaven
49,50,A Star Is Born
50,51,A Stranger Here
51,52,A Tale Of God's Will (A Requiem For Katrina)
52,53,"A Te, O Cara"
53,54,A Wing And A Prayer
54,55,A Wonderful World
55,56,"Aaaaah! Spooky, Scary Stories & Songs"
56,57,Accordionally Yours
57,58,Acoustic Garden
58,59,Across 110th Street
59,60,Acuérdate
60,61,Adams: On The Transmigration Of Souls
61,62,Adentro
62,63,Aequa - Anna Thorvaldsdóttir
63,64,Afortunado
64,65,African Giant
65,66,African Spirit
66,67,Afro Blue Impressions (Remastered & Expanded)
67,68,After The Rain
68,69,Against The Wind
69,70,Ageless: Songs for the Child Archetype
70,71,Ain't Misbehavin'
71,72,Ain't Too Proud: The Life And Times Of The Temptations
72,73,Aladdin - Original Motion Picture Soundtrack
73,74,Aldridge: Elmer Gantry
74,75,Alegría
75,76,Ali And Toumani
76,77,Alive 2007
77,78,Alive And Transported
78,79,Alive In South Africa
79,80,All Aboard!
80,81,All About Bullies... Big And Small
81,82,All Ashore
82,83,All Out
83,84,All That You Can't Leave Behind
84,85,All The Rage - In Concert Volume One [Live]
85,86,All The Sounds
86,87,All These Things
87,88,All Things New
88,89,Alma Caribeña
89,90,Almadura
90,91,Almost Famous
91,92,Alone In His Presence
92,93,Alone Together
93,94,Already Free
94,95,Always Looking Up
95,96,Amadeus
96,97,Amar Es Combatir
97,98,Amar Sin Mentiras
98,99,Amarantine
99,100,Amazing Grace - A Country Salute To Gospel
100,101,Amazing Grace 2 - A Country Salute To Gospel
101,102,America Again: Re-becoming The Greatness We Never Weren't
102,103,America The Beautiful
103,104,American Beauty
104,105,"American Dreamers: Voices Of Hope, Music Of Freedom"
105,106,American Idiot
106,107,American Idiot - Featuring Green Day
107,108,American Recordings
108,109,Amnesiac - Special Limited Edition
109,110,"Amor, Dolor Y Lágrimas: Música Ranchera"
110,111,Amused To Death
111,112,An Inconvenient Truth (Al Gore)
