,cod_category,category
0,1,Album Of Best Original Score Written For A Motion Picture Or A Television Special
1,2,Album Of Best Original Score Written For A Motion Picture Or Television Special
2,3,Album Of The Year
3,4,Album Of The Year (Other Than Classical)
4,5,Album Of The Year - Classical
5,6,Album Of The Year -- Classical
6,7,"Album Of The Year, Classical"
7,8,Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s)
8,9,Best Album Cover
9,10,Best Album Cover (Other Than Classical)
10,11,Best Album Cover - Classical
11,12,Best Album Cover - Graphic Arts
12,13,Best Album Cover - Other Than Classical
13,14,Best Album Cover - Photography
14,15,"Best Album Cover, Graphic Arts"
15,16,"Best Album Cover, Photography"
16,17,Best Album Cover- Other Than Classical
17,18,Best Album Created For Children
18,19,Best Album For Children
19,20,Best Album Notes
20,21,Best Album Notes (Classical)
21,22,Best Album Notes - Classical
22,23,"Best Album Notes, Classical"
23,24,Best Album Of Original Instrumental Background Score Written For A Motion Picture Or Television
24,25,Best Album Of Original Score Written For A Motion Picture Or A Television Special
25,26,Best Album Of Original Score Written For A Motion Picture Or Television Special
26,27,Best Album Or Original Instrumental Background Score Written For A Motion Picture Or Television
27,28,Best Album Package
28,29,Best Alternative Music Album
29,30,Best Alternative Music Performance
30,31,Best American Roots Performance
31,32,Best American Roots Song
32,33,Best Americana Album
33,34,Best Arrangement
34,35,Best Arrangement Accompanying A Vocalist Or Instrumentalist
35,36,Best Arrangement Accompanying Vocal(s)
36,37,Best Arrangement Accompanying Vocalist(s)
37,38,Best Arrangement Accompanying Vocalist(s) Or Instrumentalist(s)
38,39,Best Arrangement Accompanying Vocalists
39,40,Best Arrangement Accompanying Vocals
40,41,Best Arrangement For Voices
41,42,"Best Arrangement For Voices (Duo, Group Or Chorus)"
42,43,Best Arrangement On An Instrumental
43,44,Best Arrangement On An Instrumental Recording
44,45,"Best Arrangement, Instrumental or A Cappella"
45,46,"Best Arrangement, Instruments and Vocals"
46,47,Best Background Arrangement
47,48,Best Background Arrangement (Behind vocalist or instrumentalist)
48,49,Best Banda Album
49,50,Best Banda Or Norteño Album
50,51,Best Bluegrass Album
51,52,Best Bluegrass Recording
52,53,Best Bluegrass Recording (Vocal Or Instrumental)
53,54,Best Blues Album
54,55,Best Boxed Or Special Limited Edition Package
55,56,Best Boxed Recording Package
56,57,Best Broadway Show Album
57,58,Best Cast Show Album
58,59,Best Chamber Music Or Other Small Ensemble Performance
59,60,Best Chamber Music Performance
60,61,Best Chamber Music Performance - Instrumental Or Vocal
61,62,Best Chamber Music Performance - Vocal
62,63,Best Chamber Music/Small Ensemble Performance
63,64,Best Chamber Performance - Instrumental
64,65,Best Children's Album
65,66,Best Children's Music Album
66,67,Best Choral Performance
67,68,Best Choral Performance (Other Than Opera)
68,69,Best Choral Performance - Classical
69,70,"Best Choral Performance, Classical (Other Than Opera)"
70,71,Best Classical Album
71,72,Best Classical Chamber Music Performance - Instrumental Or Vocal
72,73,Best Classical Choral Performance (Other Than Opera)
73,74,Best Classical Compendium
74,75,Best Classical Composition By A Contemporary Composer
75,76,Best Classical Contemporary Composition
76,77,Best Classical Crossover Album
77,78,Best Classical Engineered Recording
78,79,Best Classical Instrumental Solo
79,80,Best Classical Opera Production
80,81,Best Classical Orchestral Performance
81,82,Best Classical Orchestral Recording
82,83,Best Classical Performance - Chamber Music
83,84,Best Classical Performance - Chamber Music (Including Chamber Orchestra)
84,85,Best Classical Performance - Choral (Including Oratorio)
85,86,Best Classical Performance - Choral (Other Than Opera)
86,87,Best Classical Performance - Concerto Or Instrumental Soloist
87,88,Best Classical Performance - Concerto Or Instrumental Soloist (Other Than Full Orchestral Accompaniment)
