,cod_edition,year,title
0,1,1967,10th Annual GRAMMY Awards  (1967)
1,2,1968,11th Annual GRAMMY Awards  (1968)
2,3,1969,12th Annual GRAMMY Awards  (1969)
3,4,1970,13th Annual GRAMMY Awards  (1970)
4,5,1971,14th Annual GRAMMY Awards  (1971)
5,6,1972,15th Annual GRAMMY Awards  (1972)
6,7,1973,16th Annual GRAMMY Awards  (1973)
7,8,1974,17th Annual GRAMMY Awards  (1974)
8,9,1975,18th Annual GRAMMY Awards  (1975)
9,10,1976,19th Annual GRAMMY Awards  (1976)
10,11,1958,1st Annual GRAMMY Awards  (1958)
11,12,1977,20th Annual GRAMMY Awards  (1977)
12,13,1978,21st Annual GRAMMY Awards  (1978)
13,14,1979,22nd Annual GRAMMY Awards  (1979)
14,15,1980,23rd Annual GRAMMY Awards  (1980)
15,16,1981,24th Annual GRAMMY Awards  (1981)
16,17,1982,25th Annual GRAMMY Awards  (1982)
17,18,1983,26th Annual GRAMMY Awards  (1983)
18,19,1984,27th Annual GRAMMY Awards  (1984)
19,20,1985,28th Annual GRAMMY Awards  (1985)
20,21,1986,29th Annual GRAMMY Awards  (1986)
21,22,1959,2nd Annual GRAMMY Awards  (1959)
22,23,1987,30th Annual GRAMMY Awards  (1987)
23,24,1988,31st Annual GRAMMY Awards  (1988)
24,25,1989,32nd Annual GRAMMY Awards  (1989)
25,26,1990,33rd Annual GRAMMY Awards  (1990)
26,27,1991,34th Annual GRAMMY Awards  (1991)
27,28,1992,35th Annual GRAMMY Awards  (1992)
28,29,1993,36th Annual GRAMMY Awards  (1993)
29,30,1994,37th Annual GRAMMY Awards  (1994)
30,31,1995,38th Annual GRAMMY Awards  (1995)
31,32,1996,39th Annual GRAMMY Awards  (1996)
32,33,1960,3rd Annual GRAMMY Awards  (1960)
33,34,1997,40th Annual GRAMMY Awards  (1997)
34,35,1998,41st Annual GRAMMY Awards  (1998)
35,36,1999,42nd Annual GRAMMY Awards  (1999)
36,37,2000,43rd Annual GRAMMY Awards  (2000)
37,38,2001,44th Annual GRAMMY Awards  (2001)
38,39,2002,45th Annual GRAMMY Awards  (2002)
39,40,2003,46th Annual GRAMMY Awards  (2003)
40,41,2004,47th Annual GRAMMY Awards  (2004)
41,42,2005,48th Annual GRAMMY Awards  (2005)
42,43,2006,49th Annual GRAMMY Awards  (2006)
43,44,1961,4th Annual GRAMMY Awards  (1961)
44,45,2007,50th Annual GRAMMY Awards  (2007)
45,46,2008,51st Annual GRAMMY Awards  (2008)
46,47,2009,52nd Annual GRAMMY Awards  (2009)
47,48,2010,53rd Annual GRAMMY Awards  (2010)
48,49,2011,54th Annual GRAMMY Awards  (2011)
49,50,2012,55th Annual GRAMMY Awards  (2012)
50,51,2013,56th Annual GRAMMY Awards  (2013)
51,52,2014,57th Annual GRAMMY Awards  (2014)
52,53,2015,58th Annual GRAMMY Awards  (2015)
53,54,2016,59th Annual GRAMMY Awards  (2016)
54,55,1962,5th Annual GRAMMY Awards  (1962)
55,56,2017,60th Annual GRAMMY Awards  (2017)
56,57,2018,61st Annual GRAMMY Awards  (2018)
57,58,2019,62nd Annual GRAMMY Awards  (2019)
58,59,1963,6th Annual GRAMMY Awards  (1963)
59,60,1964,7th Annual GRAMMY Awards  (1964)
60,61,1965,8th Annual GRAMMY Awards  (1965)
61,62,1966,9th Annual GRAMMY Awards  (1966)
