,cod_job,job
0,0,Bryan Taylor & Joseph Warner
1,1,Colaborador
2,2,Eva Jenis & Torsten Kerl
3,3,Glenn Miller & Daniel Shirley
4,4,Julia Migenes & Ruggero Raimondi
5,5,Lorenzo Raval & Mandy Wolman
6,6,Não Especificada
7,7,Orquestra
8,8,Producer
9,9,Produção de Álbum
10,10,Rebecca Lloyd & Sarah Tannehill
11,11,Rene Pape & Peter Seiffert
12,12,Samuel Ramey & Cheryl Studer
13,13,Teresa Wakim & Virginia Warnken
14,14,Waltraud Meier & Georg Zeppenfeld
15,15,accompanist
16,16,accompanists (Steve Barnett & Lautaro Greco)
17,17,"album notes writer (Andre Previn, conductor)"
18,18,album notes writer (Art Tatum)
19,19,album notes writer (Bessie Smith)
20,20,album notes writer (Big Star)
21,21,album notes writer (Bill Evans)
22,22,album notes writer (Bing Crosby)
23,23,album notes writer (Bob Dylan)
24,24,album notes writer (Bob Wills & His Texas Playboys)
25,25,album notes writer (Charley Patton)
26,26,album notes writer (Charlie Parker)
27,27,album notes writer (Clifford Brown)
28,28,album notes writer (Coleman Hawkins)
29,29,album notes writer (Eric Clapton)
30,30,album notes writer (Erroll Garner)
31,31,album notes writer (Fats Waller)
32,32,album notes writer (Frank Sinatra)
33,33,"album notes writer (Glenn Gould, piano)"
34,34,album notes writer (Gunther Schuller)
35,35,album notes writer (Hoelscher/Mattes)
36,36,album notes writer (Jelly Roll Morton)
37,37,album notes writer (John Coltrane)
38,38,album notes writer (Joni Mitchell)
39,39,album notes writer (Louis Armstrong)
40,40,album notes writer (Miles Davis & John Coltrane)
41,41,album notes writer (Miles Davis)
42,42,album notes writer (Otis Redding)
43,43,album notes writer (Pete Seeger)
44,44,album notes writer (Ray Charles)
45,45,album notes writer (Richard Pryor)
46,46,album notes writer (Sam Cooke)
47,47,album notes writer (Sam Samudio)
48,48,album notes writer (Terry Allen And The Panhandle Mystery Band)
49,49,album notes writer (Thelonious Monk)
50,50,album notes writer (Tom T. Hall)
51,51,album notes writer (Various Artists)
52,52,album notes writers (Aretha Franklin)
53,53,album notes writers (Billie Holiday)
54,54,album notes writers (Bunny Berigan)
55,55,album notes writers (Charlie Parker)
56,56,album notes writers (Eubie Blake & Noble Sissle)
57,57,album notes writers (Frank Sinatra)
58,58,album notes writers (James Brown)
59,59,album notes writers (Louis Armstrong)
60,60,album notes writers (Miles Davis & Gil Evans)
61,61,album notes writers (Miles Davis Quintet)
62,62,"album notes writers (Paul Whiteman, Fletcher Henderson, Chick Webb, Tommy Dorsey, Count Basie, Benny Goodman & Others)"
63,63,album notes writers (Various Artists)
64,64,arranger (Anne-Sophie Mutter & John Williams)
65,65,arranger (Barbra Streisand)
66,66,arranger (Bill Watrous & Patrick Williams)
67,67,arranger (Bobby McFerrin & Esperanza Spalding)
68,68,arranger (Chick Corea)
69,69,arranger (Cleo Laine)
70,70,arranger (Dave Grusin)
71,71,arranger (David Bowie)
72,72,arranger (Dee Dee Bridgewater)
73,73,arranger (Diana Krall)
74,74,arranger (Don Ellis Big Band)
75,75,arranger (Don Sebesky)
76,76,"arranger (Earth, Wind & Fire)"
77,77,arranger (Eddie Daniels)
78,78,arranger (Esperanza Spalding)
79,79,arranger (George Benson)
80,80,arranger (Gil Evans Project)
81,81,arranger (Gordon Goodwin's Big Phat Band)
82,82,arranger (Henry Mancini)
83,83,arranger (Jacob Collier)
84,84,arranger (James Taylor)
85,85,arranger (Joe Zawinul)
86,86,"arranger (John Scofield, Vince Mendoza & Metropole Orkest)"
87,87,arranger (John Williams)
88,88,arranger (Joni Mitchell)
89,89,arranger (Kris Bowers)
90,90,arranger (Linda Ronstadt)
91,91,arranger (Manhattan Transfer)
92,92,arranger (Mel Tormé with Rob McConnell & The Boss Brass)
93,93,arranger (Michael Kamen)
94,94,arranger (Michelle Pfeiffer)
95,95,arranger (Natalie Cole)
96,96,arranger (Pat Williams)
97,97,arranger (Paul & Linda McCartney)
98,98,arranger (Paul McCartney & Wings)
99,99,arranger (Queen Latifah)
100,100,arranger (Quincy Jones)
101,101,arranger (Randy Newman)
102,102,arranger (Ray Charles & Johnny Mathis)
103,103,arranger (Ray Stevens)
104,104,arranger (Resonance Big Band)
105,105,arranger (Rob McConnell & The Boss Brass)
106,106,arranger (Sara Gazarek)
107,107,arranger (Sarah Vaughan)
108,108,arranger (Shirley Horn)
109,109,arranger (The Bill Holman Band)
110,110,arranger (The Doobie Brothers)
111,111,arranger (The Manhattan Transfer)
112,112,arranger (Thomas Newman)
113,113,arranger (Tony Bennett & Queen Latifah)
114,114,arranger (Tony Bennett & Stevie Wonder)
115,115,arranger (Toto)
116,116,arranger (Train)
117,117,arranger (Trisha Yearwood)
118,118,arranger (Various Artists)
119,119,arrangers (Barry De Vorzon)
120,120,"arrangers (Béla Fleck, Joshua Bell & Gary Hoffmann)"
121,121,arrangers (Carmen Twillie)
122,122,arrangers (Celine Dion & Clive Griffin)
123,123,arrangers (Chaka Khan)
124,124,arrangers (Chicago)
125,125,arrangers (Chris Botti & Sting)
126,126,arrangers (Christopher Cross)
127,127,arrangers (Cyrille Aimée)
128,128,arrangers (Dave Grusin & Lee Ritenour)
129,129,arrangers (Eagles)
130,130,arrangers (Esperanza Spalding)
131,131,arrangers (George Benson)
132,132,arrangers (Herbie Hancock)
133,133,arrangers (Isaac Hayes)
134,134,arrangers (Joni Mitchell)
135,135,arrangers (Michael Brecker Quindectet)
136,136,arrangers (Mike Post)
137,137,"arrangers (Natalie Cole [& Nat ""King"" Cole])"
138,138,arrangers (Pentatonix)
139,139,arrangers (Quincy Jones)
140,140,arrangers (Siedah Garrett & Chaka Khan)
141,141,arrangers (Simon And Garfunkel)
142,142,arrangers (Starland Vocal Band)
143,143,arrangers (The Manhattan Transfer)
144,144,arrangers (The Pointer Sisters)
145,145,arrangers (Thomas Newman)
146,146,arrangers (Toto)
147,147,arrangers (Various Artists)
148,148,art director (Arcade Fire)
149,149,art director (Asleep At The Wheel)
150,150,art director (Billie Holiday)
151,151,art director (Bob Seger & The Silver Bullet Band)
152,152,art director (Bright Eyes)
153,153,art director (Charley Patton)
154,154,art director (Chicago)
155,155,art director (Cyndi Lauper)
156,156,art director (David Bowie)
157,157,art director (David Byrne & Brian Eno)
158,158,art director (Dixie Chicks)
159,159,art director (Edith Piaf)
160,160,art director (Ella Fitzgerald)
161,161,art director (Intellexual)
162,162,art director (John Coltrane)
163,163,art director (Johnny Cash)
164,164,art director (Linda Ronstadt)
165,165,art director (Madonna)
166,166,art director (Miles Davis)
167,167,art director (O'Kanes)
168,168,art director (Ohio Players)
169,169,art director (Paula Abdul)
170,170,art director (Pollution)
171,171,art director (Rosanne Cash)
172,172,art director (Siegel-Schwall Band)
173,173,art director (St. Vincent)
174,174,art director (Talking Heads)
175,175,art director (The Black Keys)
176,176,art director (The Rolling Stones)
177,177,art director (Tool)
178,178,art director (Various Artists)
179,179,art director (Wilhelm Furtwängler & Berliner Philharmoniker)
180,180,art director (Woody Guthrie)
181,181,"art directors (""Weird Al"" Yankovic)"
182,182,art directors (Aimee Mann)
183,183,art directors (Ani DiFranco)
184,184,art directors (Asleep At The Wheel)
185,185,art directors (Björk)
186,186,art directors (Bon Iver)
187,187,art directors (Bruce Springsteen)
188,188,art directors (Carly Simon)
189,189,art directors (Chris Cornell)
190,190,art directors (David Gray)
191,191,art directors (Father John Misty)
192,192,art directors (Frank Zappa)
193,193,art directors (Hank Williams)
194,194,art directors (Joni Mitchell)
195,195,art directors (Linda Ronstadt)
196,196,art directors (Magín Díaz)
197,197,art directors (Mason Proffit)
198,198,art directors (Metallica)
199,199,art directors (Miles Davis & Gil Evans)
200,200,art directors (Miles Davis & John Coltrane)
201,201,art directors (Miles Davis)
202,202,art directors (Neil Young)
203,203,art directors (Paul McCartney And Wings)
204,204,art directors (Pearl Jam)
205,205,art directors (Radiohead)
206,206,art directors (Reckless Kelly)
207,207,art directors (Red Hot Chili Peppers)
208,208,art directors (Supertramp)
209,209,art directors (Suzanne Vega)
210,210,art directors (The Muddy Basin Ramblers)
211,211,art directors (The White Stripes)
212,212,art directors (Thom Yorke)
213,213,art directors (Various Artists)
214,214,art directors (Voces Del Bullerengue)
215,215,art directors (Wilco)
216,216,artist
217,217,artist (New Philharmonia)
