,cod_category,cod_edition,cod_artist,cod_music,cod_album
0,633,58,197,194,908
1,633,58,231,895,908
2,633,58,113,17,908
3,633,58,658,847,908
4,633,58,911,1834,908
5,633,58,977,1427,908
6,633,58,993,2058,908
7,633,58,1287,1810,908
8,3,58,197,1416,1552
9,3,58,231,1416,620
10,3,58,941,1416,905
11,3,58,113,1416,1599
12,3,58,658,1416,618
13,3,58,975,1416,25
14,3,58,993,1416,358
15,3,58,1721,1416,474
16,637,58,1192,194,908
17,637,58,1192,129,908
18,637,58,1192,399,908
19,637,58,1192,847,908
20,637,58,1192,1240,908
21,637,58,1192,1411,908
22,637,58,1192,1730,908
23,637,58,1192,2058,908
24,396,58,197,1416,908
25,396,58,206,1416,908
26,396,58,975,1416,908
27,396,58,993,1416,908
28,396,58,1039,1416,908
29,396,58,1304,1416,908
30,396,58,1544,1416,908
31,396,58,1779,1416,908
32,457,58,993,2058,908
33,457,58,180,1754,908
34,457,58,197,194,908
35,457,58,113,17,908
36,457,58,1549,2240,908
37,446,58,977,1427,908
38,446,58,114,364,908
39,446,58,856,1802,908
40,446,58,1287,1810,908
41,446,58,1443,1676,908
42,596,58,540,1416,778
43,596,58,92,1416,1223
44,596,58,1114,1416,790
45,596,58,833,1416,39
46,596,58,151,1416,1533
47,458,58,197,1416,1552
48,458,58,180,1416,1350
49,458,58,113,1416,1599
50,458,58,522,1416,902
51,458,58,1549,1416,799
52,212,58,1581,812,908
53,212,58,238,1181,908
54,212,58,1094,1489,908
55,212,58,1406,2075,908
56,212,58,1466,1328,908
57,213,58,1581,1416,896
58,213,58,107,1416,703
59,213,58,588,1416,578
60,213,58,1406,1416,1067
61,213,58,1711,1416,1539
62,162,58,1385,1416,836
63,162,58,370,1416,115
64,162,58,1654,1416,1186
65,162,58,1062,1416,175
66,162,58,971,1416,436
67,515,58,609,2013,908
68,515,58,234,1511,908
69,515,58,258,909,908
70,515,58,895,2220,908
71,515,58,1364,2040,908
72,372,58,1693,19,908
73,372,58,293,163,908
74,372,58,454,944,908
75,372,58,692,362,908
76,372,58,912,2082,908
77,518,58,1192,2013,908
78,518,58,1192,708,908
79,518,58,1192,786,908
80,518,58,1192,851,908
81,518,58,1192,909,908
82,510,58,289,1416,1139
83,510,58,256,1416,1596
84,510,58,1590,1416,636
85,510,58,692,1416,1465
86,510,58,1364,1416,478
87,29,58,1721,1416,474
88,29,58,185,1416,1486
89,29,58,729,1416,140
90,29,58,231,1416,620
91,29,58,1659,1416,118
92,471,58,88,503,908
93,471,58,424,1222,908
94,471,58,659,529,908
95,471,58,994,690,908
96,471,58,1016,1605,908
97,598,58,993,1087,908
98,598,58,140,2028,908
99,598,58,701,1769,908
100,598,58,1016,1571,908
101,598,58,1213,420,908
102,475,58,1192,1643,908
103,475,58,1192,529,908
104,475,58,1192,1210,908
105,475,58,1192,1399,908
106,475,58,1192,1605,908
107,608,58,993,1416,358
108,608,58,1510,1416,129
109,608,58,625,1416,938
110,608,58,1158,1416,1078
111,608,58,781,1416,191
112,468,58,87,1416,1514
113,468,58,140,1416,5
114,468,58,1016,1416,944
115,468,58,535,1416,438
116,468,58,1212,1416,951
117,482,58,1182,1553,908
118,482,58,719,1326,908
119,482,58,412,1805,908
120,482,58,509,627,908
121,482,58,1195,493,908
122,487,58,411,902,908
123,487,58,974,636,908
124,487,58,975,1464,908
125,487,58,1155,198,908
126,487,58,1782,1935,908
127,485,58,1192,33,908
128,485,58,1192,195,908
129,485,58,1192,805,908
130,485,58,1192,1553,908
131,485,58,1192,1805,908
132,481,58,1714,1416,628
133,481,58,508,1416,1044
134,481,58,1095,1416,297
135,481,58,32,1416,609
136,481,58,1770,1416,1359
137,204,58,1759,1595,908
138,204,58,1713,114,908
139,204,58,125,777,908
140,204,58,212,799,908
141,204,58,1546,399,908
142,197,58,418,1752,908
143,197,58,260,384,908
144,197,58,262,961,908
145,197,58,988,1895,908
146,197,58,1053,508,908
147,205,58,1192,399,908
148,205,58,1192,777,908
149,205,58,1192,1060,908
150,205,58,1192,1726,908
151,205,58,1192,1752,908
152,195,58,1546,1416,1554
153,195,58,556,1416,383
154,195,58,1333,1416,1211
155,195,58,1277,1416,648
156,195,58,1661,1416,294
157,393,58,1256,1416,1563
158,393,58,437,1416,464
159,393,58,440,1416,595
160,393,58,1430,1416,1517
161,393,58,465,1416,385
162,283,58,1487,1416,908
163,283,58,537,1416,908
164,283,58,1683,1416,908
165,283,58,1651,1416,908
166,283,58,1456,1416,908
167,344,58,563,1416,7
168,344,58,1423,1416,1430
169,344,58,766,1416,789
170,344,58,314,1416,93
171,344,58,1664,1416,1087
172,321,58,243,1416,481
173,321,58,819,1416,639
174,321,58,249,1416,1397
175,321,58,369,1416,310
176,321,58,865,1416,329
177,350,58,254,1416,1377
178,350,58,86,1416,1474
