,cod_worker,worker
0,0,"""Let's Rock"" (The Black Keys)"
1,1,(Academy Of Ancient Music)
2,2,(Academy Of St. Martin-In-The Fields)
3,3,"(Ambrosian Singers, London Symphony Chorus & Wandsworth School Boys Choir; London Symphony Orchestra)"
4,4,(Andre Previn; Royal Philharmonic Orchestra)
5,5,(Andres Segovia)
6,6,(Arturo Toscanini)
7,7,(Bee Gees)
8,8,(Berliner Philharmonic)
9,9,(Billie Holiday)
10,10,(Bologna Orchestra)
11,11,"(Brook Benton, Ray Charles, The Coasters, The Drifters, Roberta Flack, Aretha Franklin, Otis Redding & Others)"
12,12,(Chicago Symphony Chorus; Chicago Symphony Orchestra)
13,13,(Chicago Symphony Orchestra)
14,14,(Chuck Berry)
15,15,(Cleveland Boys Choir; Cleveland Orchestra Chorus)
16,16,(English Chamber Orchestra)
17,17,(Eric Clapton)
18,18,(Henry Lewis; Philharmonia Orchestra)
19,19,(Hoagy Carmichael)
20,20,(Israel Philharmonic Orchestra)
21,21,(James Levine; Metropolitan Opera Orchestra)
22,22,(Lester Young)
23,23,(London Symphony Chorus & Wandsworth School Boys Choir; London Symphony Orchestra)
24,24,(London Symphony Chorus; London Symphony Orchestra)
25,25,(Metropolitan Opera Orchestra)
26,26,(Monteverdi Choir
27,27,"(Nat ""King"" Cole Trio)"
28,28,(New York Philharmonic)
29,29,(Orchestra Del Maggio Musicale)
30,30,(Orchestra Of St. Luke's)
31,31,"(Paul Whiteman, Fletcher Henderson, Chick Webb, Tommy Dorsey, Count Basie, Benny Goodman & Others)"
32,32,(Pierre Boulez; BBC Symphony Orchestra & Ensemble InterContemporain)
33,33,(Richard Bonynge; New York City Opera Orchestra)
34,34,(Robert Johnson)
35,35,(Robert Shaw; Atlanta Symphony Orchestra)
36,36,(San Francisco Symphony Orchestra)
37,37,(Sir Edward Downes; New Philharmonia Orchestra)
38,38,(Symphony Orchestra Of Amelia Romangna)
39,39,(Thelonious Monk)
40,40,(Tommy Dorsey & Frank Sinatra)
41,41,(Various Artists)
42,42,"(Vienna Boys Choir, Vienna Singverein Chorus & Vienna State Opera Chorus; Chicago Symphony Orchestra)"
43,43,(Zubin Mehta; Israel Philharmonic Orchestra)
44,44,7 Aurelius
45,45,7 Aurelius & Irv Gotti
46,46,A.J. Eaton
47,47,A.R. Rahman
48,48,Aaron Anderson & Eric Timothy Carlson
49,49,Aaron Blank
50,50,Aaron Cohen & Michele McGonigle
51,51,"Aaron Jay Kernis, composer (James Ehnes, Ludovic Morlot & Seattle Symphony)"
52,52,Aaron Lindsey
53,53,Aaron Lindsey & Tommy Sims
54,54,Aaron Luis Levinson & Phil Nicolo
55,55,Aaron Sheehan
56,56,Aaron W. Lindsey & Smokie Norful
57,57,Academy Of St. Martin-In-The-Fields)
58,58,Acy R. Lehman
59,59,Adam Abeshouse
60,60,Adam Ayan & Steve Rosenthal
61,61,Adam Blackburn
62,62,Adam Greenspan & Roderick Shearer
63,63,Adam Hann
64,64,Adam Hawkins
65,65,Adam Horovitz
66,66,Adam Horovitz & Adam Yauch
67,67,Adam Jones
68,68,Adam Jones & Maynard James Keenan
69,69,Adam Kantor
70,70,Adam Kasper
71,71,Adam Machado
72,72,Adam Polanowski & Mike von Muchow
73,73,Adele
74,74,Adele & Paul Epworth
75,75,Adele Adkins & Greg Kurstin
76,76,Adolph Green
77,77,Adrian Bushby & Mark Stent
78,78,Adrian Payne
79,79,Adrian Wills
80,80,Afrojack & David Guetta
81,81,"Agnes Baltsa, Kathleen Battle, Gary Lakes, Hermann Prey & Anna Tomowa-Sintow; James Levine, conductor; Cord Garben, producer (Vienna Philharmonic Orchestra)"
82,82,Ahmet Ertegun
83,83,Ahmir Thompson & Tarik Trotter
84,84,Aimee Mann & Gail Marowitz
85,85,Ainslie Grosser & Mike X O’Connor
86,86,Akademie für Alte Musik Berlin)
87,87,Akira Kato & Dixon Van Winkle
88,88,Al Burna
89,89,Al Franken
90,90,Al Pryor
91,91,Al Pryor & Cécile McLorin Salvant
92,92,Al Quattrocchi & Jeff Smith
93,93,Al Schmitt
94,94,Al Schmitt & Bill Schnee
95,95,Al Schmitt & Buck Snow
96,96,Al Schmitt & Ed Thacker
97,97,Al Sutton
98,98,Al Sutton & Marlon Young
99,99,Alaa El-Kashif
100,100,"Alabama Shakes (Zac Cockrell, Heath Fogg, Brittany Howard & Steve Johnson)"
101,101,"Alabama Shakes (Zac Cockrell, Heath Fogg, Brittany Howard & Steve Johnson) & Blake Mills"
102,102,Alain Boublil & Claude-Michel Schönberg
103,103,Alain Boublil & Herbert Kretzmer
104,104,Alan Bergman
105,105,Alan Bise
106,106,Alan Boyd
107,107,Alan Broadbent & David Foster
108,108,"Alan Broadbent, arranger (Charlie Haden Quartet West"
109,109,Alan Douglas
110,110,Alan Douglas & Mick Guzauski
111,111,"Alan Gilbert, conductor; Jay David Saks, producer; Meredith Arwady, Sasha Cooke, Richard Paul Fink, Gerald Finley, Thomas Glenn & Eric Owens, soloists (Metropolitan Opera Chorus; Metropolitan Opera Orchestra)"
112,112,Alan Hicks & Rashida Jones
113,113,Alan Jackson
114,114,Alan M. Leeds
115,115,Alan Menken
116,116,Alan Menken & Tim Rice
117,117,Alan Moulder & Tim Summerhayes
118,118,Alan Ortiz Grande
119,119,Alan Parsons
120,120,Alan Sanderson
121,121,Alan Saucedo
122,122,Alan Saucedo & Sebastián Schunt
123,123,Alan Silvestri
124,124,Alanis Morissette
125,125,Alanis Morissette & Steve Purcell
126,126,Alberto Jimenez Maeda
127,127,Alberto Jimenez Maeda & Gilberto Morales
128,128,Albhy Galuten
129,129,Aldo Nova
